,fridge_1,fridge_10,fridge_11,fridge_12,fridge_2,fridge_3,fridge_4,fridge_5,fridge_6,fridge_7,fridge_8,fridge_9,hvac_10,hvac_5,hvac_6,hvac_7,hvac_8,hvac_9,wm_1,wm_10,wm_11,wm_12,wm_2,wm_3,wm_4,wm_5,wm_6,wm_7,wm_8,wm_9
26,57.6796963121,79.7686352738,71.5077381379,76.2354841673,51.6339147716,55.0163776234,71.9432663306,78.1488589909,80.1214222259,81.3221435847,84.0804796832,78.8505560508,274.76811399,234.577143258,458.205931825,711.018095995,776.949199891,560.818804014,5.44684906236,5.51704839166,5.90740524316,6.37335298387,5.4777411851,6.74895273572,5.5969351622,6.33900749256,6.53579158763,5.764493624,6.49747962932,6.05548470071
59,81.6962801522,112.47166706,100.849912061,107.492795476,73.0712765461,77.6016756027,101.51891203,110.119743876,112.925244135,114.62630288,118.571570541,111.179894163,384.735266112,328.632916099,643.678418424,992.681937869,1078.16332894,771.968711567,7.42445679988,7.69695751371,8.24521049299,8.90281816073,7.48128095167,9.37267971783,7.66239006482,8.682442421,8.94333966967,7.90834467483,9.07707662822,8.2971069545
94,33.7747212235,46.5208520158,41.7567517861,44.4096004834,30.2165812538,32.1266846366,42.0132625202,45.6134375484,46.6999802588,47.4331961194,49.0142257352,45.9942945273,166.463270434,139.630501725,271.636810941,423.463355373,467.655016476,347.772710694,3.38816472827,3.23545008112,3.44862394305,3.74659489313,3.4022384672,4.01920172042,3.43371183204,3.87632500151,4.05835522285,3.52252893197,3.83542504177,3.70354465177
101,39.0115552875,53.6984554993,48.1957230945,51.2897190474,34.8929748735,37.0768666218,48.4247227383,52.602403708,53.8618391765,54.7206404434,56.5656176463,53.0772919056,189.359039098,159.318033653,310.801035525,483.888991304,532.977926713,392.590633296,3.83543312326,3.72807333959,3.99209151014,4.31210349968,3.84228537034,4.63305295728,3.89802448999,4.42958235708,4.58255182952,4.00657711645,4.40109498701,4.2229916489
222,95.8043932362,117.577406591,104.015588618,110.89395177,88.0850079226,94.9163512927,109.697747489,113.470022715,119.671768022,120.368432056,125.552426301,117.697400842,450.241814213,386.483199411,760.658870378,1187.55398146,1293.1059545,912.392708371,8.72190117883,9.12097980695,9.75745665522,10.5090070752,8.77772763107,11.0519291326,9.02679518197,10.2032904574,10.4669342101,9.29059527156,10.7101659662,9.73144683063
252,82.5094236191,113.485397495,101.885869508,108.189099027,73.8313574696,78.6382863555,102.474438599,111.347664256,113.861894878,115.779351311,119.539429128,112.237319898,392.235306886,335.236457223,657.528175996,1016.32034633,1107.25002825,787.271714642,7.6123604747,7.90290224097,8.46108888493,9.12650555266,7.66622101252,9.6088293438,7.86236384261,8.90035579754,9.1545732088,8.10501697965,9.30364634535,8.49902932439
364,48.4616244166,66.6552756303,59.8444785278,63.5421070541,43.3649390194,46.1919360082,60.1897907786,65.4024667372,66.8762752196,68.004324735,70.2133504722,65.9233590693,232.86218042,197.962073675,386.136353276,600.251332231,657.942904806,478.186126547,4.65408484597,4.64247012552,4.97015660038,5.36058606809,4.67474990002,5.69816315084,4.76776169333,5.39951974113,5.57211668698,4.9051328078,5.46488682244,5.15736957951
545,78.5439343776,108.195940273,97.0885658723,103.891372473,70.2351802719,74.3635338884,97.6669563648,105.942868037,108.656215954,110.258681007,114.164051541,106.961430231,367.244711876,313.107172193,612.100727765,949.050757126,1034.96433583,738.31799101,7.08811332674,7.51081759986,8.11149413236,8.7813648335,7.16926675126,9.10306738563,7.3476588323,8.52547463575,8.69641296647,7.63462506379,8.98446257958,8.09482390112
624,62.0424780115,85.3497786089,76.5290398878,81.7257961876,55.4614750545,58.824357746,77.0967034456,83.5737406465,85.6708762924,86.9212475325,89.9604246822,84.3640939864,296.583931296,251.889628667,492.622144496,762.948731734,833.154411151,599.73348031,5.85656589018,5.9540200423,6.40447379993,6.91994714888,5.91572416028,7.32619639882,6.00824954632,6.83187988582,7.09485750886,6.20950859212,7.08159711553,6.56045788891
661,49.4008757365,68.0657589925,61.0860137586,64.987751659,44.2073963486,46.9965438956,61.4640482405,66.7321486454,68.2880356106,69.425298998,71.7684381825,67.3351599493,235.898934262,200.825468105,390.570153818,606.718733848,664.982471198,483.360306881,4.70632368969,4.73456205606,5.08369827244,5.47145500061,4.7674811276,5.80101624171,4.85405028855,5.50215766962,5.70783927152,4.98961194584,5.58491617426,5.27051820631
