,fridge_1,fridge_10,fridge_11,fridge_12,fridge_2,fridge_3,fridge_4,fridge_5,fridge_6,fridge_7,fridge_8,fridge_9,hvac_10,hvac_5,hvac_6,hvac_7,hvac_8,hvac_9,wm_1,wm_10,wm_11,wm_12,wm_2,wm_3,wm_4,wm_5,wm_6,wm_7,wm_8,wm_9
26,45.7414484043,52.3643737967,47.3811007369,38.0139852328,34.084661211,42.6012638017,49.8516123727,55.4197644285,52.9655057465,52.6354386377,58.4880200947,54.7986547652,124.730202698,179.521438204,445.200461956,461.92203604,568.032718198,384.090151467,3.0307690476,3.16553129885,3.27744914688,3.82547086337,3.11532740024,4.00772613216,3.29181922637,3.21800715171,4.07666312251,3.79093672712,3.1996984189,2.72083847222
94,45.121733265,43.4071697292,38.7159594102,39.7886670361,37.7291811312,44.8048960363,38.6456961219,44.3925318747,41.2167290078,45.0319737276,44.0645487123,44.4855234299,123.780334771,175.038676083,417.648249133,456.283804082,539.384895637,372.40950867,3.42558566362,3.24641335837,3.20086080048,3.37932743622,3.05746989823,3.58102184772,3.01911493274,3.66229919911,3.96279723769,3.19897539852,3.89587396274,2.74568423925
252,83.3846507172,80.8685576496,72.1983653277,73.8454219205,69.926365078,82.9558726487,72.1868924122,82.7718634873,77.0646482804,84.0657124883,82.4811092854,83.0152868144,232.551541941,329.125723867,784.369032457,857.624350396,1013.97577427,700.094528975,6.31105277692,5.93522283383,5.97625612531,6.24252313368,5.60934094123,6.59726609105,5.65709383393,6.71292441371,7.25601343287,5.90566012572,7.12807741677,5.13097523974
370,71.8849366998,69.0360776265,61.3495340036,64.7540437782,59.7678794379,71.2861795056,61.2841178732,70.7359267724,65.7214469774,71.6086530038,70.1174719324,70.8906123084,188.367391855,271.736257003,643.590783754,705.392518833,826.58551057,572.951961658,5.33986848411,5.00821865772,4.79691678991,5.41186115188,4.67426071021,5.52534433485,4.62193551054,5.67623733507,6.17693367129,4.93852009791,6.09287642291,4.32315143892
410,35.8934814911,34.432451618,30.7719753895,31.4433311194,30.0298470335,35.6576343869,30.8165474358,35.3225463234,32.8220433921,35.8453595677,35.101961057,35.4203961824,97.4256978967,137.619849755,327.990048255,358.039649095,423.099852479,292.883938028,2.6992780632,2.53775562743,2.5564427895,2.67068619096,2.39965618868,2.82154752166,2.42048965657,2.87067488929,3.10199084853,2.52630467452,3.04777762277,2.19529135159
545,70.5966438737,66.8738422641,59.7906350684,62.2198260164,58.5986521226,69.6629471897,59.6946678781,68.5948247169,63.206429298,69.2330495084,67.6540849206,68.7395202404,181.101751493,259.025649407,615.652835971,679.209830935,797.297142013,555.597531333,4.91440235721,4.52455077643,4.88260747916,4.75542573168,4.2106647168,4.97193114527,4.3218340106,5.08049303615,5.55952180475,4.66019455055,5.30446616279,4.00402994984
624,35.1463859033,33.8748492237,30.273152415,31.1664576271,29.3778101965,34.8900050558,30.2207273526,34.6902276,32.2456953268,35.2408151564,34.4956106099,34.7738521381,95.8360884673,135.441295978,322.818097425,351.960176871,416.316611661,287.762992644,2.65151949062,2.49431421122,2.51027831809,2.63401876436,2.35392229032,2.7792764769,2.37221104513,2.82372351395,3.06462408144,2.47789738214,3.00502466817,2.14733683812
871,61.163512358,58.02123356,51.6809213353,53.3238641435,50.1474181199,59.5202652277,51.0942821164,59.9630250621,56.6957645844,61.9965118576,60.7108034394,60.0859467806,165.367321803,234.509487684,557.681041632,609.751433021,718.81029686,497.717440307,4.64951218913,4.36692310662,4.35049511637,4.51385842859,4.08447974209,4.82955700343,4.07486273965,4.91785500697,5.35756690222,4.30845676854,5.23881019619,3.72519594063
1169,61.0323534942,60.2891247224,52.8851808939,54.8362593276,51.1793938605,60.7186586004,52.8490995913,60.5951299402,56.4191360945,61.5429603385,60.3862052776,60.7710820725,169.444386658,235.265893976,562.562360515,613.842902782,725.696585957,500.83687512,4.62130643769,4.50083356069,4.47744815617,4.69071871904,4.10739309255,4.83084859907,4.14194942998,4.91511816584,5.31315091575,4.32434413734,5.2193434135,3.75700552007
1283,55.3069633801,53.6867439659,47.9488064772,48.9987504861,46.39959745,55.0433333919,47.9542982594,54.9612975778,51.1838210027,55.8206357458,54.7840319893,55.1248955419,146.311622699,210.868946651,511.152882824,555.823864515,647.812001049,447.103738654,4.19078044934,3.93914528971,3.96932503683,4.14704949811,3.72604356444,4.38042984042,3.75881281002,4.45635388801,4.81460162048,3.9226600336,4.73086610543,3.40899325088
1334,42.0849508205,40.3112476266,35.9299487954,36.993335892,35.8796450023,41.45738535,35.7351476432,41.0817391776,37.9877159004,41.5890490452,40.9075534385,40.9717831714,116.326162617,164.518062971,392.340256592,428.968150137,506.362019837,349.881113461,3.18661608204,2.99688198532,3.01770794377,3.15246948124,2.83279899387,3.33121419657,2.85712061373,3.38973735006,3.66338354577,2.98234714296,3.59890071968,2.59129459342
1642,54.9577922156,52.903964402,45.1280000527,47.7184768855,46.1021402396,54.6901353239,47.6291101479,54.5964662051,50.8390255711,55.4513054036,54.4159427353,54.7590616435,150.107892493,212.973739989,507.483043047,555.728421476,654.319835824,452.070091117,4.16353513789,3.96833553097,3.94507287341,4.1215622336,3.70161456326,4.35216430379,3.7338102135,4.42810710219,4.78468488386,3.89689665547,4.70111114862,3.38652496082
1800,53.4720410641,51.8906146528,46.337761378,47.367593002,44.8540844611,53.2101363097,46.337729811,53.1170393635,49.4615925566,53.9474107213,52.9406123632,53.2749419115,146.091072851,206.291798192,493.456616105,538.356353064,636.549708477,439.277108869,4.0500842305,3.80777250474,3.83587406561,4.00730893426,3.60056139659,4.23351244449,3.63185778262,4.30720055749,4.65420734709,3.79061045524,4.57290640318,3.29397194832
1953,61.195928141,58.6990196676,52.110183102,53.8612279062,50.928607118,60.6637282462,52.0060357871,59.8888960749,55.5254287616,60.8694520543,59.5245309263,60.1704296267,165.035403218,233.683225457,550.199820973,603.595305054,712.525481174,494.923468652,4.54571073217,4.27369307994,4.30352440027,4.49508794491,4.03939836189,4.75175941075,4.07332815429,4.83454099011,5.2265681383,4.25278317709,5.1343694384,3.69441254931
2129,44.4553900583,43.1522668633,38.5389917377,39.3842916078,37.2954463846,44.2428492803,38.5428161439,44.1755284672,41.1382130626,44.8661125741,44.0328675111,44.3073214277,119.55025932,169.707706464,406.038088421,443.559630196,524.64649939,362.253197044,3.36838529061,3.16627394609,3.19037815529,3.3332001945,2.99483971326,3.52084007188,3.02112644517,3.58190456988,3.869896559,3.15284633852,3.80256919402,2.7399977458
2156,36.1540692227,34.9487180223,31.1939974978,32.0208033448,30.2324956428,35.865846963,31.1163021135,35.6929863486,33.2489415545,36.2933506191,35.7213497019,35.8481967293,98.1518834577,138.192022116,331.64096652,363.675204801,429.070658695,296.090282932,2.73844004534,2.57441475047,2.5262907,2.634176358,2.41991754943,2.85783562574,2.46889604284,2.93488173407,3.09283077154,2.52206067486,3.09229716368,2.2225129166
2233,29.1034537746,28.2427241382,25.2204492188,25.7809600291,24.4129221129,28.960905767,25.2204320377,28.9102354987,26.9206700164,29.3621852269,28.8142108296,28.9961777858,79.5136056338,112.279308837,268.575717904,293.013487495,346.457600032,239.087208526,2.20435646068,2.07247243364,2.08776738894,2.18107496942,1.95969276809,2.30419170992,1.97672658438,2.3442982506,2.53316510251,2.06313157243,2.48891509417,1.79282403336
